Customer ID: 0 Created by jamyers on 2019-07-22T02:26:48.710
Customer ID: 0 Created by jamyers on 2019-07-22T09:41:03.018

Customer ID: 0 Created by jamyers on 2019-07-22T09:43:07.375
Customer ID: 0 Created by jamyers on 2019-07-22T09:45:38.567
New Customer ID: 3 Created by skyman on 2019-07-22T14:34:58.178
New Appointment ID: 1 Created by jamyers on 2019-07-22T14:58:52.657
New Appointment ID: 2 Created by superdude on 2019-07-22T15:31:41.748
New Appointment ID: 13 Created by skyman on 2019-07-22T15:37:00.028
New Customer ID: 19 Created by skyman on 2019-07-22T15:38:30.711
New Appointment ID: javafx.scene.control.TableColumn@58f71974 Created by jamyers on 2019-07-22T15:49:14.364
New Appointment ID: javafx.scene.control.TableColumn@464ddb8d Created by jamyers on 2019-07-22T16:03:08.605
New Appointment ID: javafx.scene.control.TableColumn@5d8aacc Created by jamyers on 2019-07-22T16:35:24.888
New Appointment ID: javafx.scene.control.TableColumn@5d8aacc Created by jamyers on 2019-07-22T16:36:14.255
New Appointment ID: javafx.scene.control.TableColumn@25cc7b87 Created by jamyers on 2019-07-22T16:37:25.160
New Appointment ID: javafx.scene.control.TableColumn@25cc7b87 Created by jamyers on 2019-07-22T16:37:31.530
New Appointment ID: javafx.scene.control.TableColumn@1a921ceb Created by jamyers on 2019-07-22T16:39:30.750
New Appointment ID: javafx.scene.control.TableColumn@4d775b0c Created by jamyers on 2019-07-22T16:46:47.917
New Appointment ID: javafx.scene.control.TableColumn@4d775b0c Created by jamyers on 2019-07-22T16:46:51.264
New Appointment ID: javafx.scene.control.TableColumn@4054de96 Created by jamyers on 2019-07-22T16:59:28.606
New Appointment ID: javafx.scene.control.TableColumn@4054de96 Created by jamyers on 2019-07-22T17:00:09.767
New Appointment ID: javafx.scene.control.TableColumn@a16f364 Created by jamyers on 2019-07-22T17:01:05.182
New Appointment ID: javafx.scene.control.TableColumn@a16f364 Created by jamyers on 2019-07-22T17:01:13.003
New Appointment ID: javafx.scene.control.TableColumn@190c625d Created by jamyers on 2019-07-22T18:28:59.402
New Appointment ID: javafx.scene.control.TableColumn@a8b8daf Created by jamyers on 2019-07-22T18:29:16.912
New Appointment ID: javafx.scene.control.TableColumn@4d775b0c Created by jamyers on 2019-07-22T18:30:54.231
New Appointment ID: 14 Created by skyman on 2019-07-22T20:28:00.632
New Appointment ID: 15 Created by skyman on 2019-07-22T20:28:59.486
New Appointment ID: 16 Created by jamyers on 2019-07-23T13:49:27.849
New Appointment ID: 17 Created by jamyers on 2019-07-23T13:50:24.754
New Appointment ID: 18 Created by jamyers on 2019-07-23T13:51:06.632
New Appointment ID: -1 Created by jamyers on 2019-07-23T14:26:17.196
New Appointment ID: 19 Created by jamyers on 2019-07-23T14:27:30.086
New Appointment ID: 20 Created by jamyers on 2019-07-23T14:29:43.569
New Appointment ID: 21 Created by jamyers on 2019-07-23T16:42:16.345
New Appointment ID: 22 Created by jamyers on 2019-07-23T17:10:40.412
New Appointment ID: 23 Created by jamyers on 2019-07-23T17:18:47.355
New Appointment ID: 24 Created by jamyers on 2019-07-23T17:34:28.496
New Appointment ID: 25 Created by jamyers on 2019-07-23T20:40:21.548
New Appointment ID: 26 Created by jamyers on 2019-07-23T20:44:35.230
New Appointment ID: 27 Created by jamyers on 2019-07-23T20:47:40.544
New Appointment ID: 28 Created by jamyers on 2019-07-24T09:49:43.462
New Appointment ID: 29 Created by jamyers on 2019-07-24T09:51:15.880
New Appointment ID: 30 Created by jamyers on 2019-07-25T11:55:46.785
New Customer ID: 5 Created by jamyers on 2019-07-25T23:51:27.874-04:00[America/New_York]
New Appointment ID: 5 Created by jamyers on 2019-07-25T23:52:14.626-04:00[America/New_York]
New Customer ID: 1 Created by jamyers on 2019-07-25T23:58:46.148-04:00[America/New_York]
New Appointment ID: 1 Created by jamyers on 2019-07-25T23:59:18.614-04:00[America/New_York]
New Appointment ID: 6 Created by jamyers on 2019-07-26T00:59:39.921-04:00[America/New_York]
New Appointment ID: 5 Created by jamyers on 2019-07-26T01:03:58.158-04:00[America/New_York]
New Appointment ID: 5 Created by jamyers on 2019-07-26T11:51:16.743-04:00[America/New_York]
New Appointment ID: 6 Created by jamyers on 2019-07-26T11:58:03.979-04:00[America/New_York]
New Appointment ID: 7 Created by jamyers on 2019-07-26T12:07:06.825-04:00[America/New_York]
New Customer ID: 1 Created by jamyers on 2019-07-26T12:14:34.453-04:00[America/New_York]
New Appointment ID: 1 Created by jamyers on 2019-07-26T12:15:07.547-04:00[America/New_York]
New Appointment ID: 2 Created by jamyers on 2019-07-26T13:13:47.327-04:00[America/New_York]
New Appointment ID: 3 Created by jamyers on 2019-07-26T13:14:35.579-04:00[America/New_York]
